동국제약(086450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-12-08,9406,9753,9098,9755,5190,86526.0,6840000.0
2008-12-09,9830,9869,9290,9755,2545,86526.0,6840000.0
2008-12-10,9793,9793,9253,9793,5490,86868.0,6840000.0
2008-12-11,9869,10254,9637,10179,3147,90288.0,6840000.0
2008-12-12,10254,10254,9792,10256,6464,90972.0,6840000.0
2008-12-15,10139,11180,10139,10796,2780,95760.0,6840000.0
2008-12-16,11064,11064,10486,10796,1089,95760.0,6840000.0
2008-12-17,10794,11141,10563,10873,2375,96444.0,6840000.0
2008-12-18,10872,10872,10564,10564,4278,93708.0,6840000.0
2008-12-19,10409,10794,10409,10719,2964,95076.0,6840000.0
2008-12-22,10987,11141,10717,10719,4239,95076.0,6840000.0
2008-12-23,10871,10871,10447,10449,2378,92682.0,6840000.0
2008-12-24,10563,10563,10409,10449,630,92682.0,6840000.0
2008-12-26,10641,10641,10564,10641,161,94392.0,6840000.0
2008-12-29,10794,10910,10177,10680,7062,94734.0,6840000.0
2008-12-30,10911,11296,10602,11220,5402,99522.0,6840000.0
2009-01-02,11258,11335,11181,11335,1828,100548.0,6840000.0
2009-01-05,11489,11489,11026,11181,1772,99180.0,6840000.0
2009-01-06,11258,11258,11142,11181,518,99180.0,6840000.0
2009-01-07,11142,11181,10988,11181,976,99180.0,6840000.0
2009-01-08,11489,11489,10487,11258,1839,99864.0,6840000.0
2009-01-09,11257,11295,10563,11297,1876,100206.0,6840000.0
2009-01-12,11104,11373,10872,11258,433,99864.0,6840000.0
2009-01-13,11334,11334,10678,10719,6163,95076.0,6840000.0
2009-01-14,10910,10910,10640,10873,3939,96444.0,6840000.0
2009-01-15,10718,10718,10255,10641,1401,94392.0,6840000.0
2009-01-16,10795,10795,10410,10757,5183,95418.0,6840000.0
2009-01-19,10794,10871,10486,10796,2123,95760.0,6840000.0
2009-01-20,11025,11025,10640,10950,390,97128.0,6840000.0
2009-01-21,11141,11141,10524,10526,379,93366.0,6840000.0
2009-01-22,10948,10948,10331,10680,1260,94734.0,6840000.0
