차바이오텍(085660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-06-11,10076,10482,10076,10280,35766,48564.0,5032500.0
2007-06-12,10417,10417,10022,10290,32549,48614.0,5032500.0
2007-06-13,10288,10470,10075,10290,44560,48614.0,5032500.0
2007-06-14,10183,11077,10099,11078,71531,52338.0,5032500.0
2007-06-15,11131,11397,10758,11078,73129,52338.0,5032500.0
2007-06-18,11077,11611,10865,11557,115161,54603.0,5032500.0
2007-06-19,11397,11557,10598,11078,119795,52338.0,5032500.0
2007-06-20,11132,11346,10514,10866,67522,51332.0,5032500.0
2007-06-21,10865,12462,10492,12463,409460,58880.0,5032500.0
2007-06-22,13209,13848,12304,12676,568251,59887.0,5032500.0
2007-06-25,12676,13048,12036,12303,398396,58125.0,5032500.0
2007-06-26,12250,12410,10598,11078,405927,52338.0,5032500.0
2007-06-27,11291,11291,10438,11078,190966,52338.0,5032500.0
2007-06-28,11345,12196,10758,11823,528151,55861.0,5032500.0
2007-06-29,12038,12091,11026,11185,154487,52841.0,5032500.0
2007-07-02,11504,11878,10972,11025,257100,52086.0,5032500.0
2007-07-03,11238,11558,10866,11132,245362,52590.0,5032500.0
2007-07-04,11345,11663,10918,11664,279357,55106.0,5032500.0
2007-07-05,11663,12410,11397,11877,365211,56112.0,5032500.0
2007-07-06,12356,12462,11397,11398,281343,53848.0,5032500.0
2007-07-09,11772,12197,11504,11931,260404,56364.0,5032500.0
2007-07-10,11770,11877,11503,11877,93361,56112.0,5032500.0
2007-07-11,11718,12038,11504,11931,133592,56364.0,5032500.0
2007-07-12,11931,12144,11612,11611,114436,54854.0,5032500.0
2007-07-13,11718,12038,10866,10866,188669,51332.0,5032500.0
2007-07-16,11026,11504,10866,11025,131372,52086.0,5032500.0
2007-07-18,11291,11717,11131,11504,108512,54351.0,5032500.0
2007-07-19,11451,11503,11025,11398,89482,53848.0,5032500.0
2007-07-20,11397,11397,10971,11238,106984,53093.0,5032500.0
2007-07-23,11238,11292,10503,10503,125601,49620.0,5032500.0
2007-07-24,10619,10619,10120,10439,91198,49318.0,5032500.0
2007-07-25,10322,10577,10183,10461,41997,49419.0,5032500.0
2007-07-26,10418,10813,10354,10386,33027,49067.0,5032500.0
2007-07-27,10235,10235,9767,9991,53265,47205.0,5032500.0
2007-07-30,9768,10066,9704,10003,18301,47255.0,5032500.0
2007-07-31,10067,10418,9726,9800,63363,46299.0,5032500.0
2007-08-01,9833,10013,9609,9800,49957,46299.0,5032500.0
2007-08-02,9800,9959,9373,9672,61417,45695.0,5032500.0
2007-08-03,9672,9780,9300,9300,81439,43934.0,5032500.0
2007-08-06,9160,9341,9054,9192,40984,43430.0,5032500.0
2007-08-07,9266,9372,9160,9171,36643,43330.0,5032500.0
2007-08-08,9054,10545,9054,9512,154149,44940.0,5032500.0
2007-08-09,9588,10088,9513,9907,60996,46802.0,5032500.0
2007-08-10,9682,9788,9565,9566,22584,45192.0,5032500.0
2007-08-13,9309,9779,9309,9577,24309,45242.0,5032500.0
2007-08-14,9482,9673,8958,9203,41641,43481.0,5032500.0
2007-08-16,8959,9215,8031,9215,95916,43531.0,5032500.0
2007-08-17,8543,9288,8543,9203,76371,43481.0,5032500.0
2007-08-20,9469,9620,9140,9619,62853,45443.0,5032500.0
2007-08-21,9619,9842,9405,9832,36646,46450.0,5032500.0
2007-08-22,10003,10003,8522,9619,14708,45443.0,5032500.0
2007-08-23,9619,9788,9373,9533,14120,45041.0,5032500.0
2007-08-24,9734,9734,9372,9554,8905,45142.0,5032500.0
2007-08-27,9554,9735,9373,9373,11048,44286.0,5032500.0
2007-08-28,9460,9460,9118,9257,28671,43732.0,5032500.0
2007-08-29,9150,9150,8649,8959,19033,42323.0,5032500.0
2007-08-30,9054,9490,9001,9373,34905,44286.0,5032500.0
2007-08-31,9407,9481,9129,9215,19611,43531.0,5032500.0
