알에스오토메이션(140670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-08,12900,12950,12550,12750,86108,116065.0,9103140.0
2019-02-11,12850,12850,12050,12050,164393,109693.0,9103140.0
2019-02-12,12200,12650,11950,12250,147016,111513.0,9103140.0
2019-02-13,12400,12400,11950,12100,119136,110148.0,9103140.0
2019-02-14,12100,12950,11950,12900,239849,117431.0,9103140.0
2019-02-15,12850,13050,12550,12850,113998,116975.0,9103140.0
2019-02-18,12900,13250,12700,13000,149242,118341.0,9103140.0
2019-02-19,13150,13350,12850,13000,144548,118341.0,9103140.0
2019-02-20,13100,13900,13000,13650,436794,124258.0,9103140.0
2019-02-21,13700,13900,13450,13600,218895,123803.0,9103140.0
2019-02-22,13550,13700,13150,13400,133198,121982.0,9103140.0
2019-02-25,13400,13500,13150,13350,82347,121527.0,9103140.0
2019-02-26,13400,13500,13000,13050,67070,118796.0,9103140.0
2019-02-27,13100,13550,13100,13350,82859,121527.0,9103140.0
2019-02-28,13400,13500,12350,12400,128231,112879.0,9103140.0
2019-03-04,12650,12950,12600,12800,73518,116520.0,9103140.0
2019-03-05,12800,13050,12450,12950,59727,117886.0,9103140.0
2019-03-06,13000,13250,12850,12950,50602,117886.0,9103140.0
2019-03-07,13000,13350,12600,12900,82081,117431.0,9103140.0
2019-03-08,12700,12850,12450,12650,34456,115155.0,9103140.0
2019-03-11,12500,12650,12250,12450,58093,113334.0,9103140.0
2019-03-12,12600,12850,12400,12700,74200,115610.0,9103140.0
2019-03-13,12600,13100,12500,12900,64804,117431.0,9103140.0
2019-03-14,12850,13350,12750,13200,121891,120161.0,9103140.0
2019-03-15,13350,13400,12650,12850,107955,116975.0,9103140.0
2019-03-18,12900,13050,12750,12900,40853,117431.0,9103140.0
2019-03-19,12950,12950,12550,12750,45282,116065.0,9103140.0
2019-03-20,12750,12800,12400,12650,44403,115155.0,9103140.0
2019-03-21,12650,13100,12550,13100,103879,119251.0,9103140.0
2019-03-22,13200,13650,12850,13600,395424,123803.0,9103140.0
2019-03-25,13400,14700,13400,13450,1455902,122437.0,9103140.0
2019-03-26,13700,14100,13250,14100,360932,128354.0,9103140.0
2019-03-27,14150,14400,13350,13500,401931,122892.0,9103140.0
2019-03-28,13600,14100,13450,13450,345703,122437.0,9103140.0
2019-03-29,13550,13650,12650,13000,308708,118341.0,9103140.0
2019-04-01,12900,13250,12850,13100,112504,119251.0,9103140.0
2019-04-02,13150,13600,12900,13600,210904,123803.0,9103140.0
2019-04-03,13750,13900,13500,13650,167426,124258.0,9103140.0
2019-04-04,13700,13950,13500,13750,148562,125168.0,9103140.0
2019-04-05,13750,13850,13150,13650,134070,124258.0,9103140.0
2019-04-08,13700,13850,13400,13550,103070,123348.0,9103140.0
2019-04-09,13450,13750,13200,13750,127462,125168.0,9103140.0
2019-04-10,13750,13750,13500,13600,63586,123803.0,9103140.0
2019-04-11,13700,14150,13600,14000,247209,127444.0,9103140.0
2019-04-12,14050,14150,13800,13900,147361,126534.0,9103140.0
2019-04-15,13950,14000,13650,13700,112423,124713.0,9103140.0
2019-04-16,13700,13800,13450,13650,90715,124258.0,9103140.0
2019-04-17,13800,14250,13650,13650,194419,124258.0,9103140.0
2019-04-18,13700,13850,13150,13250,126621,120617.0,9103140.0
2019-04-19,13400,13600,13250,13450,75619,122437.0,9103140.0
2019-04-22,14000,14000,13650,13750,154342,125168.0,9103140.0
2019-04-23,13850,13850,13450,13700,66816,124713.0,9103140.0
2019-04-24,13800,13850,13350,13350,89332,121527.0,9103140.0
2019-04-25,13400,13550,13150,13300,73952,121072.0,9103140.0
2019-04-26,13200,13250,12550,12600,154459,114700.0,9103140.0
2019-04-29,12650,12850,12550,12850,62554,116975.0,9103140.0
