코렌(078650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-06-01,2350,2436,2240,2298,69012,17449.0,6209603.0
2012-06-04,2175,2284,2134,2240,56854,17014.0,6209603.0
2012-06-05,2178,2412,2150,2347,84193,17822.0,6209603.0
2012-06-07,2412,2412,2297,2322,33037,17635.0,6209603.0
2012-06-08,2330,2346,2093,2204,82448,16735.0,6209603.0
2012-06-11,2216,2325,2154,2167,46057,16455.0,6209603.0
2012-06-12,2166,2436,2166,2330,202791,17697.0,6209603.0
2012-06-13,2330,2608,2269,2543,330443,19312.0,6209603.0
2012-06-14,2555,2603,2424,2433,149912,18474.0,6209603.0
2012-06-15,2509,2509,2387,2462,62715,18691.0,6209603.0
2012-06-18,2494,2571,2375,2412,96529,18318.0,6209603.0
2012-06-19,2436,2436,2305,2306,116232,17511.0,6209603.0
2012-06-20,2407,2465,2354,2404,116313,18256.0,6209603.0
2012-06-21,2403,2403,2297,2363,44427,17946.0,6209603.0
2012-06-22,2371,2371,2257,2290,46965,17387.0,6209603.0
2012-06-25,2289,2289,2170,2245,108773,17045.0,6209603.0
2012-06-26,2456,2579,2358,2580,1243026,19591.0,6209603.0
