케이맥(043290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-10-19,13000,13450,12300,12550,198073,80648.0,6426140.0
2012-10-22,12400,12500,11800,11850,175494,76150.0,6426140.0
2012-10-23,11850,12200,11650,11750,112688,75507.0,6426140.0
2012-10-24,11700,11950,11300,11650,97440,74865.0,6426140.0
2012-10-25,11400,11700,10450,10600,236576,68117.0,6426140.0
2012-10-26,10750,10800,9940,10050,180219,64583.0,6426140.0
2012-10-29,9970,10300,9700,9800,101092,62976.0,6426140.0
2012-10-30,9760,10050,9610,9810,92435,63040.0,6426140.0
2012-10-31,9900,10200,9870,10000,95726,64261.0,6426140.0
2012-11-01,10100,10100,9830,9840,66574,63233.0,6426140.0
2012-11-02,10050,10400,9950,10100,83001,64904.0,6426140.0
2012-11-05,10250,10250,9900,10000,48141,64261.0,6426140.0
2012-11-06,10100,10100,9820,9820,54749,63105.0,6426140.0
2012-11-07,10000,10000,9660,9920,54712,63747.0,6426140.0
2012-11-08,9900,9900,9660,9700,56017,62334.0,6426140.0
2012-11-09,9700,9700,9420,9420,59300,60534.0,6426140.0
2012-11-12,9400,9400,9090,9090,98761,58414.0,6426140.0
2012-11-13,9070,9200,8520,8520,121808,54751.0,6426140.0
2012-11-14,8470,8600,8130,8170,59725,52502.0,6426140.0
2012-11-15,8170,8170,7830,8080,46987,51923.0,6426140.0
2012-11-16,7940,8460,7940,8200,53435,52694.0,6426140.0
2012-11-19,8110,8590,8110,8550,41890,54943.0,6426140.0
2012-11-20,8600,8930,8600,8760,31631,56293.0,6426140.0
2012-11-21,8950,8950,8530,8670,18032,55715.0,6426140.0
2012-11-22,8670,8860,8600,8670,19424,55715.0,6426140.0
2012-11-23,8720,8810,8510,8550,18323,54943.0,6426140.0
2012-11-26,8500,8500,8300,8410,28562,54044.0,6426140.0
2012-11-27,8470,8500,8270,8270,26841,53144.0,6426140.0
2012-11-28,8440,8440,8200,8430,16033,54172.0,6426140.0
2012-11-29,8430,8590,8320,8470,15949,54429.0,6426140.0
2012-11-30,8560,8560,8330,8340,10574,53594.0,6426140.0
2012-12-03,8400,8400,8200,8220,12799,52823.0,6426140.0
2012-12-04,8220,8440,8150,8320,22068,53465.0,6426140.0
2012-12-05,8460,8460,8250,8280,7162,53208.0,6426140.0
2012-12-06,8200,8370,8200,8360,13320,53723.0,6426140.0
2012-12-07,8270,8570,8270,8550,27972,54943.0,6426140.0
2012-12-10,8600,8690,8410,8560,13476,55008.0,6426140.0
2012-12-11,8460,8700,8460,8510,24476,54686.0,6426140.0
2012-12-12,8510,8760,8510,8700,17684,55907.0,6426140.0
2012-12-13,8750,9320,8670,9140,57161,58735.0,6426140.0
2012-12-14,9050,9270,8950,9140,22841,58735.0,6426140.0
2012-12-17,9140,9240,8800,8800,21211,56550.0,6426140.0
2012-12-18,8620,8800,8150,8200,76893,52694.0,6426140.0
2012-12-20,8180,8370,8180,8250,15434,53016.0,6426140.0
2012-12-21,8340,8440,8150,8200,18725,52694.0,6426140.0
2012-12-24,8250,8300,8180,8230,6939,52887.0,6426140.0
2012-12-26,8320,8340,8240,8260,8846,53080.0,6426140.0
2012-12-27,8320,8330,8200,8300,11020,53337.0,6426140.0
2012-12-28,8230,8340,8230,8290,14632,53273.0,6426140.0
2013-01-02,8330,8450,8300,8370,10186,53787.0,6426140.0
2013-01-03,8410,9000,8410,8790,77372,56486.0,6426140.0
2013-01-04,8730,8880,8590,8750,17896,56229.0,6426140.0
2013-01-07,8880,8910,8730,8730,26398,56100.0,6426140.0
2013-01-08,9090,9460,9000,9070,74678,58285.0,6426140.0
2013-01-09,9070,9250,8950,9010,18059,57900.0,6426140.0
2013-01-10,8900,9030,8810,8940,23377,57450.0,6426140.0
2013-01-11,8900,9140,8810,8950,31475,57514.0,6426140.0
2013-01-14,8970,8990,8650,8750,29292,56229.0,6426140.0
2013-01-15,8650,8840,8400,8400,25107,53980.0,6426140.0
2013-01-16,8340,8630,8340,8500,13086,54622.0,6426140.0
2013-01-17,8450,8450,8320,8360,17682,53723.0,6426140.0
2013-01-18,8400,8400,8330,8390,23950,53915.0,6426140.0
2013-01-21,8370,8530,8370,8490,16037,54558.0,6426140.0
2013-01-22,8520,8650,8490,8550,18325,54943.0,6426140.0
2013-01-23,8600,8600,8350,8390,27555,53915.0,6426140.0
2013-01-24,8400,8470,8310,8390,14513,53915.0,6426140.0
2013-01-25,8300,8400,8200,8210,24842,52759.0,6426140.0
2013-01-28,8230,8320,8200,8260,8088,53080.0,6426140.0
2013-01-29,8170,8390,8170,8370,8825,53787.0,6426140.0
2013-01-30,8400,8560,8280,8280,20312,53208.0,6426140.0
2013-01-31,8280,8400,8280,8310,9972,53401.0,6426140.0
2013-02-01,8310,8440,8270,8360,10741,53723.0,6426140.0
2013-02-04,8360,8420,8250,8320,12120,53465.0,6426140.0
2013-02-05,8320,8320,8100,8150,24882,52373.0,6426140.0
2013-02-06,8310,8370,8160,8160,13153,52437.0,6426140.0
2013-02-07,8080,8220,8000,8080,30658,51923.0,6426140.0
2013-02-08,7950,8150,7950,8040,24268,51666.0,6426140.0
2013-02-12,7960,8190,7960,8000,13850,51409.0,6426140.0
2013-02-13,7970,8070,7950,8030,28908,51602.0,6426140.0
2013-02-14,7990,8030,7320,7320,125669,47039.0,6426140.0
2013-02-15,7450,7760,7050,7730,129966,49674.0,6426140.0
2013-02-18,7740,8750,7690,8680,147986,55779.0,6426140.0
2013-02-19,8760,9120,8720,8900,138766,57193.0,6426140.0
2013-02-20,8900,9040,8710,9000,45216,57835.0,6426140.0
2013-02-21,9010,9080,8750,8800,17003,56550.0,6426140.0
2013-02-22,8800,8900,8650,8830,21286,56743.0,6426140.0
2013-02-25,9000,9000,8610,8610,24867,55329.0,6426140.0
2013-02-26,8650,9400,8650,9400,201624,60406.0,6426140.0
2013-02-27,9620,9620,9300,9350,125899,60084.0,6426140.0
2013-02-28,9340,9440,9080,9390,80699,64209.0,6838015.0
2013-03-04,9700,10150,9640,9950,148091,68038.0,6838015.0
2013-03-05,10000,10000,9760,9800,49497,67013.0,6838015.0
2013-03-06,9900,10200,9790,9990,58382,68312.0,6838015.0
2013-03-07,9970,9970,9560,9610,100838,65713.0,6838015.0
2013-03-08,9610,9880,9500,9690,52346,66260.0,6838015.0
2013-03-11,9690,9700,9440,9600,31927,65645.0,6838015.0
2013-03-12,9500,9850,9450,9850,36890,67354.0,6838015.0
2013-03-13,9850,10200,9800,9990,94603,68312.0,6838015.0
2013-03-14,10000,10000,9880,9990,25362,68312.0,6838015.0
2013-03-15,10100,10100,9750,9750,55128,66671.0,6838015.0
2013-03-18,9990,9990,9610,9610,32977,65713.0,6838015.0
2013-03-19,9640,9800,9560,9570,31978,65440.0,6838015.0
2013-03-20,9580,9730,9410,9410,34646,64346.0,6838015.0
2013-03-21,9450,9580,9440,9450,20418,64619.0,6838015.0
2013-03-22,9410,9560,9300,9450,42711,64619.0,6838015.0
2013-03-25,9500,9800,9420,9800,59914,67013.0,6838015.0
2013-03-26,9890,11250,9850,11250,441153,76928.0,6838015.0
2013-03-27,11400,11450,10850,11250,208149,76928.0,6838015.0
2013-03-28,11150,11350,10700,11150,185696,76244.0,6838015.0
2013-03-29,11100,11350,10800,10850,116114,74192.0,6838015.0
2013-04-01,11050,12200,11000,11850,385714,81030.0,6838015.0
2013-04-02,11850,12050,11350,11650,152397,79663.0,6838015.0
2013-04-03,11700,12000,11400,11900,94936,81372.0,6838015.0
2013-04-04,11850,11850,11150,11550,104717,78979.0,6838015.0
2013-04-05,11600,11700,10900,11100,72478,75902.0,6838015.0
2013-04-08,11000,11300,10650,10950,50935,74876.0,6838015.0
2013-04-09,10950,11200,10350,11100,51342,75902.0,6838015.0
2013-04-10,10950,11200,10700,11050,56413,75560.0,6838015.0
2013-04-11,11350,12000,11200,11600,192335,79321.0,6838015.0
2013-04-12,11700,11750,11300,11300,58915,77270.0,6838015.0
2013-04-15,11350,11700,11100,11100,59482,75902.0,6838015.0
2013-04-16,11050,11400,10800,11400,53656,77953.0,6838015.0
2013-04-17,11550,11650,11000,11100,49632,75902.0,6838015.0
2013-04-18,11200,11250,10750,10900,47870,74534.0,6838015.0
2013-04-19,10750,11000,10150,10200,73155,69748.0,6838015.0
2013-04-22,10300,10700,10050,10550,41444,72141.0,6838015.0
2013-04-23,10550,12050,10550,11250,300355,76928.0,6838015.0
2013-04-24,11300,11750,11300,11400,145887,77953.0,6838015.0
2013-04-25,11450,12500,11450,11950,288258,81714.0,6838015.0
