BGF리테일(282330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-01-10,208500,208500,189500,189500,69556,3275300.0,17283906.0
2019-01-11,190000,192000,187500,188500,25072,3258016.0,17283906.0
2019-01-14,188500,190000,183000,186500,34536,3223448.0,17283906.0
2019-01-15,188500,188500,184500,184500,19065,3188881.0,17283906.0
2019-01-16,184000,186000,182500,185500,25157,3206165.0,17283906.0
2019-01-17,186000,187500,182000,184500,23871,3188881.0,17283906.0
2019-01-18,184000,186500,182500,183000,18261,3162955.0,17283906.0
2019-01-21,185000,187000,183500,186000,13394,3214807.0,17283906.0
2019-01-22,185000,186000,183000,183500,14067,3171597.0,17283906.0
2019-01-23,182500,187000,182500,184500,18713,3188881.0,17283906.0
2019-01-24,183500,184500,179500,180500,24190,3119745.0,17283906.0
2019-01-25,179500,190000,179500,187500,35796,3240732.0,17283906.0
2019-01-28,186000,188500,184000,186500,18770,3223448.0,17283906.0
2019-01-29,189000,190000,185500,187500,16201,3240732.0,17283906.0
2019-01-30,191000,191500,183500,184500,17597,3188881.0,17283906.0
2019-01-31,185500,187000,181500,184000,23241,3180239.0,17283906.0
2019-02-01,183500,186500,182500,182500,12917,3154313.0,17283906.0
2019-02-07,185000,186500,181500,184500,15424,3188881.0,17283906.0
2019-02-08,186000,186500,182500,185000,11317,3197523.0,17283906.0
2019-02-11,187000,187500,181500,182500,15957,3154313.0,17283906.0
2019-02-12,185000,187000,182500,185500,21140,3206165.0,17283906.0
2019-02-13,191000,205000,188000,195500,67670,3379004.0,17283906.0
2019-02-14,194000,195500,192000,194000,19932,3353078.0,17283906.0
2019-02-15,193500,195000,191000,194000,12620,3353078.0,17283906.0
2019-02-18,195000,201000,194500,201000,16656,3474065.0,17283906.0
2019-02-19,199000,204500,194000,195000,14740,3370362.0,17283906.0
2019-02-20,196000,210000,195000,205500,37485,3551843.0,17283906.0
2019-02-21,203500,210500,203500,208000,26441,3595052.0,17283906.0
2019-02-22,209500,215000,208000,208000,17402,3595052.0,17283906.0
2019-02-25,212000,218000,212000,218000,24912,3767892.0,17283906.0
2019-02-26,214000,217500,212500,215000,13585,3716040.0,17283906.0
2019-02-27,218500,218500,214000,215000,20783,3716040.0,17283906.0
2019-02-28,215000,218000,213000,213000,30491,3681472.0,17283906.0
2019-03-04,214000,217500,210000,210500,31450,3638262.0,17283906.0
2019-03-05,209500,211500,207000,209000,30745,3612336.0,17283906.0
2019-03-06,214000,214000,205500,205500,44382,3551843.0,17283906.0
2019-03-07,210000,210000,204500,206000,26614,3560485.0,17283906.0
2019-03-08,213500,213500,201500,204000,21401,3525917.0,17283906.0
