성신양회(004980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-01-18,2028,2135,1914,1990,79300,36263.0,13893910.0
2000-01-19,1922,1975,1792,1845,58320,33623.0,13893910.0
2000-01-20,1792,1937,1792,1845,51240,33623.0,13893910.0
2000-01-21,1830,1891,1769,1845,56640,33623.0,13893910.0
2000-01-24,1647,1902,1647,1791,134220,32651.0,13893910.0
2000-01-25,1788,1830,1754,1753,73170,31956.0,13893910.0
2000-01-26,1731,1906,1731,1860,167650,33901.0,13893910.0
2000-01-27,1944,2139,1906,2138,362770,38972.0,13893910.0
2000-01-28,2196,2288,2013,2039,272190,37166.0,13893910.0
2000-01-31,2059,2135,1944,2039,97190,37166.0,13893910.0
2000-02-01,1983,2059,1983,1990,89140,36263.0,13893910.0
2000-02-02,1983,2044,1944,1990,74260,36263.0,13893910.0
2000-02-03,2059,2135,2021,2096,165450,38208.0,13893910.0
2000-02-07,2089,2135,2021,2051,86200,37375.0,13893910.0
2000-02-08,2059,2082,1960,1974,54540,35985.0,13893910.0
2000-02-09,1914,1998,1906,1906,82760,34735.0,13893910.0
2000-02-10,1830,1868,1792,1791,79320,32651.0,13893910.0
2000-02-11,1754,1845,1716,1753,75980,31956.0,13893910.0
2000-02-14,1826,1826,1689,1727,45930,31470.0,13893910.0
2000-02-15,1723,1777,1708,1761,71460,32095.0,13893910.0
2000-02-16,1754,1830,1754,1780,102540,32442.0,13893910.0
2000-02-17,1754,1815,1609,1730,42240,31539.0,13893910.0
2000-02-18,1681,1716,1643,1692,51420,30844.0,13893910.0
2000-02-21,1693,1693,1525,1525,55690,27788.0,13893910.0
2000-02-22,1525,1601,1449,1536,75370,27996.0,13893910.0
2000-02-23,1536,1765,1536,1757,134510,32025.0,13893910.0
2000-02-24,1739,1739,1578,1593,60220,29038.0,13893910.0
2000-02-25,1678,1708,1533,1627,79810,29663.0,13893910.0
2000-02-28,1601,1739,1601,1677,113550,30567.0,13893910.0
2000-02-29,1792,1792,1685,1730,88940,31539.0,13893910.0
2000-03-02,1990,1990,1990,1990,46370,36263.0,13893910.0
2000-03-03,2288,2288,2288,2287,53440,41682.0,13893910.0
2000-03-06,2631,2631,2631,2630,73520,47934.0,13893910.0
2000-03-07,3023,3023,3023,3023,39930,55089.0,13893910.0
2000-03-08,3393,3397,2573,2676,1328500,48768.0,13893910.0
2000-03-09,2669,3077,2593,3076,1095010,56062.0,13893910.0
2000-03-10,3073,3286,2859,2912,581050,53075.0,13893910.0
2000-03-13,2913,3020,2806,2867,395030,52241.0,13893910.0
2000-03-14,2821,3294,2821,3011,602660,54881.0,13893910.0
2000-03-15,2859,2966,2783,2882,199820,52519.0,13893910.0
2000-03-16,2821,3088,2547,2546,305130,46406.0,13893910.0
2000-03-17,2448,2707,2448,2565,183730,46753.0,13893910.0
2000-03-20,2554,2554,2215,2420,230330,44113.0,13893910.0
2000-03-21,2421,2509,2288,2287,195350,41682.0,13893910.0
2000-03-22,2211,2371,2028,2371,581130,43210.0,13893910.0
2000-03-23,2440,2440,2253,2401,294950,43766.0,13893910.0
2000-03-24,2436,2554,2307,2371,511590,43210.0,13893910.0
2000-03-27,2387,2516,2314,2462,271300,44877.0,13893910.0
2000-03-28,2440,2627,2383,2478,319890,45155.0,13893910.0
2000-03-29,2493,2562,2326,2325,218620,42376.0,13893910.0
2000-03-30,2326,2352,2173,2211,151860,40292.0,13893910.0
2000-03-31,2211,2249,2135,2135,98660,38903.0,13893910.0
2000-04-03,2059,2333,2059,2135,218850,38903.0,13893910.0
2000-04-04,2173,2364,2135,2157,226270,39320.0,13893910.0
2000-04-06,2135,2135,2021,2020,143770,36819.0,13893910.0
2000-04-07,2021,2051,1983,2013,116210,36680.0,13893910.0
2000-04-10,2059,2314,2044,2314,288400,42168.0,13893910.0
2000-04-11,2326,2349,2051,2051,191320,37375.0,13893910.0
2000-04-12,2063,2173,2059,2085,115080,38000.0,13893910.0
2000-04-14,2089,2173,2036,2058,138490,37514.0,13893910.0
2000-04-17,1922,2013,1769,1830,142750,33345.0,13893910.0
2000-04-18,1944,2066,1906,1913,91460,34874.0,13893910.0
2000-04-19,1914,2166,1914,1982,150830,36124.0,13893910.0
2000-04-20,2097,2097,1944,1982,48500,36124.0,13893910.0
2000-04-21,1914,2074,1914,1990,42800,36263.0,13893910.0
2000-04-24,1914,2036,1914,1936,54770,35291.0,13893910.0
2000-04-25,1998,1998,1906,1906,45460,34735.0,13893910.0
2000-04-26,1944,1975,1845,1845,95470,33623.0,13893910.0
2000-04-27,1868,1868,1754,1757,52490,32025.0,13893910.0
2000-04-28,1716,1845,1716,1784,52040,32512.0,13893910.0
2000-05-02,1761,1784,1708,1730,78830,31539.0,13893910.0
2000-05-03,1792,1792,1731,1746,44450,31817.0,13893910.0
2000-05-04,1746,1765,1723,1723,48570,31400.0,13893910.0
2000-05-08,1761,1906,1735,1807,106570,32929.0,13893910.0
2000-05-09,2078,2078,2028,2077,221400,37861.0,13893910.0
2000-05-10,2116,2124,1944,1982,299620,36124.0,13893910.0
2000-05-12,1944,2044,1918,1917,116490,34943.0,13893910.0
2000-05-15,1861,2204,1681,2203,174540,40153.0,13893910.0
2000-05-16,2532,2532,1910,1910,606930,34804.0,13893910.0
2000-05-17,1944,2036,1758,1784,141320,32512.0,13893910.0
2000-05-18,1754,1792,1601,1677,109490,30567.0,13893910.0
2000-05-19,1617,1739,1617,1677,115030,30567.0,13893910.0
2000-05-22,1693,1693,1529,1528,77520,27857.0,13893910.0
2000-05-23,1525,1601,1449,1563,121180,28483.0,13893910.0
2000-05-24,1556,1754,1456,1708,270210,31122.0,13893910.0
2000-05-25,1754,1937,1708,1887,250130,34387.0,13893910.0
2000-05-26,1792,1861,1632,1631,85380,29733.0,13893910.0
2000-05-29,1529,1678,1491,1540,146270,28066.0,13893910.0
2000-05-30,1548,1655,1548,1627,232210,29663.0,13893910.0
2000-05-31,1685,1792,1647,1704,225300,31053.0,13893910.0
2000-06-01,1704,1704,1586,1627,180390,29663.0,13893910.0
2000-06-02,1639,1716,1632,1631,150440,29733.0,13893910.0
2000-06-05,1761,1876,1723,1875,303770,34179.0,13893910.0
2000-06-07,2150,2154,2066,2154,362250,39250.0,13893910.0
2000-06-08,2440,2474,2059,2318,874410,42237.0,13893910.0
2000-06-09,2013,2211,2013,2058,493120,37514.0,13893910.0
2000-06-12,2158,2158,1998,2066,353400,37652.0,13893910.0
2000-06-13,1983,2028,1780,1830,252870,33345.0,13893910.0
2000-06-14,1845,2051,1815,1856,282140,33832.0,13893910.0
2000-06-15,1857,1906,1678,1715,188090,31261.0,13893910.0
2000-06-16,1639,1716,1601,1681,149110,30636.0,13893910.0
2000-06-19,1700,1700,1639,1639,89750,29872.0,13893910.0
2000-06-20,1609,1674,1609,1654,114260,30150.0,13893910.0
2000-06-21,1678,1716,1655,1669,195230,30428.0,13893910.0
2000-06-22,1700,1723,1647,1654,90220,30150.0,13893910.0
2000-06-23,1655,1739,1639,1692,85540,30844.0,13893910.0
2000-06-26,1655,1731,1655,1700,107630,30983.0,13893910.0
2000-06-27,1708,1792,1681,1769,248180,32234.0,13893910.0
2000-06-28,1754,1967,1700,1776,546020,32373.0,13893910.0
2000-06-29,1807,1868,1700,1711,160470,31192.0,13893910.0
2000-06-30,1754,1754,1693,1711,93150,31192.0,13893910.0
2000-07-03,1685,1731,1670,1700,130740,30983.0,13893910.0
2000-07-04,1739,1746,1693,1696,115770,30914.0,13893910.0
2000-07-05,1700,1719,1639,1662,128730,30289.0,13893910.0
2000-07-06,1708,1739,1670,1715,206800,31261.0,13893910.0
2000-07-07,1739,1876,1739,1784,318060,32512.0,13893910.0
2000-07-10,1830,1906,1758,1769,214920,32234.0,13893910.0
2000-07-11,1800,1887,1769,1784,377070,32512.0,13893910.0
2000-07-12,1792,1819,1742,1761,178070,32095.0,13893910.0
2000-07-13,1761,1777,1716,1719,161530,31331.0,13893910.0
2000-07-14,1792,1792,1697,1708,119450,31122.0,13893910.0
2000-07-18,1678,1723,1655,1662,136220,30289.0,13893910.0
2000-07-19,1639,1670,1601,1620,106760,29525.0,13893910.0
2000-07-20,1605,1636,1563,1593,65270,29038.0,13893910.0
2000-07-21,1609,1632,1586,1597,72770,29108.0,13893910.0
2000-07-24,1639,1639,1540,1547,132570,28205.0,13893910.0
2000-07-25,1556,1586,1517,1586,112090,28899.0,13893910.0
2000-07-26,1586,1617,1544,1551,76560,28274.0,13893910.0
2000-07-27,1548,1559,1521,1532,167900,27927.0,13893910.0
2000-07-28,1533,1578,1517,1517,167660,27649.0,13893910.0
2000-07-31,1525,1536,1487,1525,86270,27788.0,13893910.0
2000-08-01,1548,1571,1514,1570,80790,28621.0,13893910.0
2000-08-02,1563,1601,1540,1601,85620,29177.0,13893910.0
2000-08-03,1578,1601,1552,1566,140260,28552.0,13893910.0
2000-08-04,1571,1704,1540,1570,608130,28621.0,13893910.0
2000-08-07,1571,1571,1498,1509,166270,27510.0,13893910.0
2000-08-08,1601,1624,1525,1555,278670,28344.0,13893910.0
2000-08-09,1601,1601,1536,1555,138540,28344.0,13893910.0
2000-08-10,1540,1571,1540,1551,61060,28274.0,13893910.0
2000-08-11,1559,1582,1533,1547,123230,28205.0,13893910.0
2000-08-14,1601,1693,1578,1631,253360,29733.0,13893910.0
2000-08-16,1639,1670,1590,1601,169980,29177.0,13893910.0
2000-08-17,1594,1609,1525,1570,158880,28621.0,13893910.0
2000-08-18,1601,1678,1575,1601,281680,29177.0,13893910.0
2000-08-21,1662,1662,1601,1601,165860,29177.0,13893910.0
2000-08-22,1586,1620,1578,1582,88210,28830.0,13893910.0
2000-08-23,1563,1609,1563,1578,67460,28760.0,13893910.0
2000-08-24,1578,1590,1536,1586,102220,28899.0,13893910.0
2000-08-25,1533,1731,1533,1647,352740,30011.0,13893910.0
2000-08-28,1655,1716,1597,1605,158890,29247.0,13893910.0
2000-08-29,1578,1624,1571,1593,119890,29038.0,13893910.0
2000-08-30,1586,1590,1567,1574,99950,28691.0,13893910.0
2000-08-31,1594,1601,1540,1540,90960,28066.0,13893910.0
2000-09-01,1540,1567,1533,1547,104810,28205.0,13893910.0
2000-09-04,1548,1563,1521,1547,108750,28205.0,13893910.0
2000-09-05,1556,1590,1548,1570,112670,28621.0,13893910.0
2000-09-06,1586,1605,1571,1582,156020,28830.0,13893910.0
2000-09-07,1563,1609,1544,1544,180670,28135.0,13893910.0
