한전KPS(051600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-07-15,32250,33050,32250,33000,31440,1485000.0,45000000.0
2009-07-16,33000,33150,32500,32500,55927,1462500.0,45000000.0
2009-07-17,32600,33300,32600,33000,27341,1485000.0,45000000.0
2009-07-20,33100,33700,33100,33450,51247,1505250.0,45000000.0
2009-07-21,33900,34200,33550,33900,85365,1525500.0,45000000.0
2009-07-22,34150,34350,33450,33850,65818,1523250.0,45000000.0
2009-07-23,33800,34250,33700,33800,28622,1521000.0,45000000.0
2009-07-24,34100,34100,32750,32900,126209,1480500.0,45000000.0
2009-07-27,33300,33350,32450,32800,216664,1476000.0,45000000.0
2009-07-28,32800,32900,31850,32000,305992,1440000.0,45000000.0
2009-07-29,32000,32300,31400,31450,167610,1415250.0,45000000.0
2009-07-30,31600,31650,30400,30950,337889,1392750.0,45000000.0
2009-07-31,31000,31650,30600,31650,326772,1424250.0,45000000.0
2009-08-03,31700,32200,31350,32200,221758,1449000.0,45000000.0
2009-08-04,32200,32550,32200,32500,253761,1462500.0,45000000.0
2009-08-05,32800,32900,32400,32900,154887,1480500.0,45000000.0
2009-08-06,32800,33250,32550,33250,185496,1496250.0,45000000.0
2009-08-07,33050,33500,32700,33500,113147,1507500.0,45000000.0
